epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,328.052,0.50616,0.50267,1.06866,0.76619,0.70078,0.77176,0.5753,0.97868,1.14909,1.65831,0.000451066,0.000451066,0.000451066
62,333.264,0.52838,0.52327,1.08868,0.7805,0.60986,0.69542,0.51546,1.04563,1.32886,1.78042,0.000440067,0.000440067,0.000440067
63,338.529,0.52413,0.50658,1.0882,0.73644,0.67469,0.73046,0.53444,0.96583,1.29831,1.66813,0.000429068,0.000429068,0.000429068
64,343.83,0.50175,0.47394,1.0713,0.79844,0.68629,0.76673,0.58306,0.91323,1.1724,1.58786,0.000418069,0.000418069,0.000418069
65,349.101,0.49617,0.49066,1.06098,0.79982,0.72568,0.76798,0.55871,1.06064,1.06134,1.82049,0.00040707,0.00040707,0.00040707
66,354.4,0.4889,0.45818,1.06671,0.80169,0.73044,0.79705,0.5848,0.99376,1.13922,1.72897,0.000396071,0.000396071,0.000396071
67,360.039,0.49601,0.47021,1.06693,0.83049,0.73707,0.81592,0.59216,0.90771,1.06784,1.56637,0.000385073,0.000385073,0.000385073
68,365.351,0.48012,0.47319,1.05314,0.80749,0.73629,0.77991,0.58336,0.95776,1.02433,1.61259,0.000374074,0.000374074,0.000374074
69,370.67,0.47396,0.45621,1.04725,0.76728,0.79583,0.81315,0.59427,0.9718,1.0278,1.69316,0.000363075,0.000363075,0.000363075
70,376.03,0.46632,0.43466,1.04811,0.70971,0.74175,0.73264,0.53225,1.04869,1.23301,1.77816,0.000352076,0.000352076,0.000352076
71,381.28,0.48773,0.46682,1.06407,0.81722,0.71466,0.79483,0.61173,0.93379,1.02748,1.69502,0.000341077,0.000341077,0.000341077
72,386.511,0.45198,0.42807,1.03185,0.82441,0.7206,0.82663,0.60684,0.92176,1.0082,1.58789,0.000330078,0.000330078,0.000330078
73,391.745,0.47729,0.45011,1.04873,0.76104,0.793,0.82642,0.62537,0.85056,1.0361,1.54458,0.000319079,0.000319079,0.000319079
74,397.121,0.46608,0.43619,1.0541,0.77702,0.73214,0.79606,0.61133,0.85921,1.02739,1.5764,0.00030808,0.00030808,0.00030808
75,402.345,0.43928,0.4109,1.02888,0.79647,0.7229,0.78445,0.60111,0.91556,1.05765,1.57095,0.000297081,0.000297081,0.000297081
76,407.564,0.44285,0.4315,1.03518,0.872,0.70369,0.82487,0.61526,0.9083,0.94023,1.58987,0.000286083,0.000286083,0.000286083
77,412.776,0.44336,0.40145,1.02795,0.77604,0.73882,0.79396,0.61254,0.91546,1.00013,1.61685,0.000275084,0.000275084,0.000275084
78,418.11,0.41465,0.38894,1.01483,0.78714,0.71045,0.77096,0.60613,0.83828,1.09728,1.53875,0.000264085,0.000264085,0.000264085
79,423.42,0.42861,0.39022,1.03493,0.80647,0.72638,0.78837,0.6034,0.88734,1.01464,1.58789,0.000253086,0.000253086,0.000253086
80,428.725,0.41911,0.38107,1.01389,0.81493,0.72697,0.79156,0.60002,0.94711,1.04319,1.64037,0.000242087,0.000242087,0.000242087
81,434.402,0.41705,0.39783,1.01492,0.77823,0.68815,0.77688,0.5942,0.87063,1.10434,1.55331,0.000231088,0.000231088,0.000231088
82,439.635,0.40513,0.36512,1.0117,0.75998,0.67719,0.74489,0.57001,0.92745,1.21764,1.6422,0.000220089,0.000220089,0.000220089
83,444.854,0.39307,0.36843,0.99966,0.78757,0.71028,0.77228,0.58827,0.90192,1.08579,1.62359,0.00020909,0.00020909,0.00020909
84,450.066,0.40339,0.37456,1.01245,0.77352,0.69307,0.75713,0.56716,0.99437,1.13726,1.71584,0.000198091,0.000198091,0.000198091
85,455.292,0.38548,0.35339,0.9923,0.83537,0.70259,0.79629,0.62423,0.89048,0.95041,1.60737,0.000187092,0.000187092,0.000187092
86,460.494,0.39759,0.35553,0.99448,0.8173,0.71499,0.79186,0.60814,0.93707,0.99264,1.6459,0.000176094,0.000176094,0.000176094
87,465.727,0.38799,0.36804,0.99987,0.80281,0.75743,0.80539,0.6189,0.89153,0.95498,1.58739,0.000165095,0.000165095,0.000165095
88,470.981,0.37179,0.35103,0.98925,0.85546,0.69233,0.79751,0.61695,0.88309,0.98444,1.5786,0.000154096,0.000154096,0.000154096
89,476.33,0.38032,0.34964,0.98467,0.8091,0.75745,0.82021,0.63169,0.87852,0.94557,1.60507,0.000143097,0.000143097,0.000143097
90,481.644,0.36608,0.34702,0.9896,0.77129,0.74787,0.81622,0.64297,0.85873,0.89616,1.57801,0.000132098,0.000132098,0.000132098
91,488.505,0.2679,0.26022,0.89879,0.76985,0.74055,0.77214,0.60428,0.97459,1.03209,1.73098,0.000121099,0.000121099,0.000121099
92,493.691,0.25113,0.2122,0.88683,0.81977,0.68911,0.77092,0.61338,0.9271,1.05061,1.66558,0.0001101,0.0001101,0.0001101
93,498.846,0.23678,0.20258,0.88248,0.79936,0.74315,0.78868,0.62027,0.90916,1.01029,1.64505,9.91012e-05,9.91012e-05,9.91012e-05
94,504.018,0.22798,0.1903,0.87045,0.79291,0.75799,0.78602,0.62659,0.87256,0.96473,1.62781,8.81023e-05,8.81023e-05,8.81023e-05
95,509.538,0.22543,0.18672,0.86732,0.80838,0.73317,0.78683,0.62302,0.87665,0.95459,1.64332,7.71034e-05,7.71034e-05,7.71034e-05
96,514.711,0.21648,0.17861,0.84385,0.84625,0.72842,0.81069,0.63647,0.86385,0.93172,1.6324,6.61045e-05,6.61045e-05,6.61045e-05
97,519.889,0.21191,0.17489,0.85775,0.82511,0.75831,0.80936,0.64354,0.85186,0.92701,1.63381,5.51056e-05,5.51056e-05,5.51056e-05
98,525.067,0.2059,0.16864,0.85903,0.82107,0.7552,0.80694,0.64425,0.84978,0.89915,1.64005,4.41067e-05,4.41067e-05,4.41067e-05
99,530.593,0.20618,0.17441,0.85372,0.82084,0.76897,0.81352,0.65008,0.84217,0.89783,1.62578,3.31078e-05,3.31078e-05,3.31078e-05
100,537.159,0.20283,0.16585,0.84647,0.81923,0.76171,0.81581,0.65137,0.84256,0.90867,1.62554,2.21089e-05,2.21089e-05,2.21089e-05
