epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,969.463,0.88801,1.24181,1.49301,0.62954,0.61992,0.62916,0.42072,1.17155,1.40046,1.92059,0.000496861,0.000496861,0.000496861
85,980.664,0.87026,1.24831,1.47762,0.54502,0.59313,0.5575,0.36588,1.17694,1.84842,1.92242,0.000489462,0.000489462,0.000489462
86,991.896,0.90402,1.25586,1.49304,0.69276,0.59791,0.63551,0.42774,1.221,1.32232,1.96905,0.000482063,0.000482063,0.000482063
87,1003.04,0.90661,1.23747,1.49366,0.59013,0.71175,0.65765,0.4498,1.17749,1.40032,1.89076,0.000474664,0.000474664,0.000474664
88,1015.22,0.86169,1.20423,1.46812,0.4816,0.62732,0.59341,0.39991,1.16444,1.53761,1.90659,0.000467264,0.000467264,0.000467264
89,1026.45,0.82803,1.20252,1.44011,0.51716,0.71236,0.61464,0.42354,1.12849,1.43755,1.83005,0.000459865,0.000459865,0.000459865
90,1037.66,0.83726,1.183,1.45385,0.5475,0.60914,0.60807,0.40012,1.16306,1.54491,1.9173,0.000452466,0.000452466,0.000452466
91,1048.83,0.83233,1.13849,1.43339,0.5982,0.5319,0.58547,0.3967,1.13573,1.64321,1.84838,0.000445067,0.000445067,0.000445067
92,1060.01,0.8395,1.13477,1.44029,0.59534,0.57099,0.63156,0.41447,1.1472,1.56293,1.87498,0.000437667,0.000437667,0.000437667
93,1071.29,0.81945,1.12076,1.4307,0.52983,0.70629,0.6219,0.42042,1.14602,1.54306,1.8733,0.000430268,0.000430268,0.000430268
94,1082.71,0.83061,1.13482,1.42474,0.64386,0.64164,0.63471,0.42205,1.13899,1.60025,1.8825,0.000422869,0.000422869,0.000422869
95,1094.04,0.81332,1.08563,1.43631,0.59401,0.60084,0.61279,0.41216,1.15944,1.49544,1.91879,0.00041547,0.00041547,0.00041547
96,1105.22,0.8284,1.13288,1.43907,0.62549,0.64261,0.66295,0.45806,1.11028,1.31906,1.79518,0.00040807,0.00040807,0.00040807
97,1117.33,0.79077,1.07458,1.39968,0.60206,0.69218,0.6493,0.43382,1.14,1.42963,1.88942,0.000400671,0.000400671,0.000400671
98,1128.82,0.81193,1.0845,1.40409,0.71781,0.64316,0.7034,0.49244,1.09333,1.26107,1.79777,0.000393272,0.000393272,0.000393272
99,1140.79,0.81048,1.07457,1.40867,0.45001,0.50816,0.49244,0.31555,1.35198,2.20994,2.1747,0.000385873,0.000385873,0.000385873
100,1152.09,0.83788,1.0938,1.41338,0.66664,0.61477,0.66546,0.47013,1.0688,1.31908,1.77639,0.000378473,0.000378473,0.000378473
101,1163.36,0.79491,1.05595,1.39396,0.66582,0.64621,0.66233,0.45293,1.12254,1.34604,1.86311,0.000371074,0.000371074,0.000371074
102,1174.64,0.79526,1.01413,1.3957,0.53742,0.52552,0.50839,0.35789,1.08004,2.40912,1.8205,0.000363675,0.000363675,0.000363675
103,1185.77,0.75795,1.02852,1.37639,0.67087,0.63337,0.66136,0.47817,1.10355,1.37135,1.84892,0.000356275,0.000356275,0.000356275
104,1197.07,0.78971,1.01115,1.39104,0.62642,0.70183,0.66883,0.46991,1.13853,1.31809,1.88951,0.000348876,0.000348876,0.000348876
105,1208.25,0.74457,1.00113,1.35817,0.63367,0.64007,0.63398,0.45312,1.09716,1.52698,1.81786,0.000341477,0.000341477,0.000341477
106,1219.5,0.7647,0.98691,1.37383,0.62857,0.66691,0.66133,0.47754,1.06906,1.30395,1.75265,0.000334078,0.000334078,0.000334078
107,1231.02,0.73415,0.96088,1.35476,0.67562,0.65664,0.69064,0.47976,1.07762,1.31244,1.82293,0.000326678,0.000326678,0.000326678
108,1243.93,0.79736,1.01528,1.40604,0.64557,0.62246,0.64963,0.45189,1.1466,1.34786,1.90958,0.000319279,0.000319279,0.000319279
109,1255.1,0.76421,0.95348,1.3643,0.63922,0.63676,0.66895,0.47326,1.09651,1.38458,1.79645,0.00031188,0.00031188,0.00031188
110,1266.33,0.73454,0.99135,1.35051,0.54576,0.6687,0.63608,0.45182,1.09304,1.61521,1.77803,0.000304481,0.000304481,0.000304481
111,1277.5,0.72802,0.93089,1.35015,0.62732,0.64746,0.62041,0.44371,1.14377,1.56229,1.91286,0.000297081,0.000297081,0.000297081
112,1288.67,0.73337,0.9114,1.3396,0.75058,0.67687,0.68973,0.48773,1.11018,1.26456,1.83387,0.000289682,0.000289682,0.000289682
113,1299.83,0.73285,0.88849,1.3264,0.63821,0.65759,0.66563,0.46792,1.16153,1.39296,1.9145,0.000282283,0.000282283,0.000282283
114,1311.03,0.72925,0.91742,1.34321,0.64311,0.68578,0.68595,0.47987,1.12538,1.37215,1.85049,0.000274884,0.000274884,0.000274884
115,1322.1,0.7216,0.88094,1.32901,0.62526,0.69885,0.67096,0.46146,1.17842,1.3128,1.94645,0.000267484,0.000267484,0.000267484
116,1333.77,0.73062,0.87789,1.32502,0.61759,0.61589,0.62549,0.4357,1.14575,1.61332,1.87822,0.000260085,0.000260085,0.000260085
117,1344.87,0.7222,0.91768,1.33019,0.65319,0.55665,0.60183,0.4304,1.11861,1.5757,1.87335,0.000252686,0.000252686,0.000252686
118,1355.92,0.71153,0.92198,1.32482,0.62809,0.58588,0.60295,0.4267,1.06315,1.73297,1.75535,0.000245287,0.000245287,0.000245287
119,1367.13,0.70853,0.86339,1.31796,0.68351,0.65919,0.69043,0.49483,1.10973,1.25967,1.84138,0.000237887,0.000237887,0.000237887
120,1379.48,0.68699,0.8431,1.29824,0.64576,0.70867,0.68499,0.50392,1.08647,1.25844,1.85365,0.000230488,0.000230488,0.000230488
121,1391.78,0.67846,0.82815,1.29238,0.62221,0.70163,0.67826,0.47519,1.09224,1.3323,1.84527,0.000223089,0.000223089,0.000223089
122,1402.99,0.69209,0.83986,1.30871,0.68263,0.69866,0.71542,0.50823,1.10407,1.18261,1.82399,0.00021569,0.00021569,0.00021569
123,1415.21,0.66653,0.80511,1.28315,0.63499,0.68522,0.67197,0.48407,1.07977,1.37248,1.83192,0.00020829,0.00020829,0.00020829
124,1426.44,0.69489,0.80759,1.31211,0.66058,0.65627,0.6973,0.51582,1.05042,1.35354,1.8253,0.000200891,0.000200891,0.000200891
125,1438.29,0.67073,0.80498,1.29628,0.70068,0.66114,0.66888,0.49221,1.10131,1.29578,1.87961,0.000193492,0.000193492,0.000193492
126,1449.44,0.67041,0.81145,1.29265,0.70584,0.69189,0.70455,0.50567,1.05576,1.17797,1.76305,0.000186092,0.000186092,0.000186092
127,1460.58,0.69003,0.83382,1.3012,0.70566,0.63005,0.69778,0.51333,1.06488,1.2923,1.79168,0.000178693,0.000178693,0.000178693
128,1471.81,0.6523,0.77345,1.26822,0.67814,0.67534,0.66914,0.49612,1.08734,1.24107,1.8273,0.000171294,0.000171294,0.000171294
129,1483.05,0.64942,0.7636,1.26827,0.64917,0.6486,0.68348,0.50203,1.08854,1.21648,1.82674,0.000163895,0.000163895,0.000163895
130,1494.27,0.66059,0.79949,1.28469,0.75874,0.6461,0.69949,0.5045,1.11287,1.31398,1.86689,0.000156495,0.000156495,0.000156495
131,1505.32,0.61998,0.7444,1.24689,0.64513,0.67631,0.69349,0.50632,1.08548,1.32194,1.83296,0.000149096,0.000149096,0.000149096
132,1516.33,0.6459,0.76505,1.25809,0.71657,0.60959,0.6606,0.48393,1.10193,1.38525,1.87227,0.000141697,0.000141697,0.000141697
133,1527.81,0.61031,0.74099,1.23277,0.63456,0.69975,0.67457,0.4953,1.06038,1.36526,1.80599,0.000134298,0.000134298,0.000134298
134,1538.89,0.61931,0.7247,1.2524,0.65839,0.66734,0.67288,0.49355,1.07809,1.3806,1.83238,0.000126898,0.000126898,0.000126898
135,1549.98,0.63445,0.73363,1.25848,0.60491,0.72941,0.69789,0.51917,1.08017,1.21163,1.83273,0.000119499,0.000119499,0.000119499
